EVENT,SEQ,FATAL
20080825X01302,Enroute-cruise - Collision with terr/obj (non-CFIT),1
20080825X01302,Enroute-cruise - Loss of control in flight,1
20080825X01302,Enroute-cruise - VFR encounter with IMC,1
20080825X01302,Enroute-cruise - Windshear or thunderstorm,1
20080825X01302,Prior to flight - Preflight or dispatch event,1
20081001X14522,Approach - Altitude deviation,1
20081001X14522,Approach-IFR final approach - Controlled flight into terr/obj (CFIT),1
20081001X14522,Maneuvering - VFR encounter with IMC,1
20081001X14522,Prior to flight - Preflight or dispatch event,1
20081003X16301,Enroute - Unknown or undetermined,1
20081003X16308,Post-impact - Fire/smoke (post-impact),1
20081003X16308,Prior to flight - Aircraft maintenance event,1
20081003X16308,Takeoff - Sys/Comp malf/fail (non-power),1
20081003X16308,Takeoff-rejected takeoff - Runway excursion,1
20081016X94016,Enroute-cruise - Controlled flight into terr/obj (CFIT),1
20081016X94016,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20081110X70048,Enroute-cruise - Controlled flight into terr/obj (CFIT),1
20081120X80107,Initial climb - Controlled flight into terr/obj (CFIT),1
20081208X81624,Maneuvering - Midair collision,1
20090225X94938,Enroute-cruise - Loss of control in flight,1
20090414X35813,Initial climb - Controlled flight into terr/obj (CFIT),1
20090522X35527,Approach-VFR pattern downwind - Aerodynamic stall/spin,1
20090522X35527,Approach-VFR pattern downwind - Loss of control in flight,1
20090522X35527,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20090624X10624,Initial climb - Loss of control in flight,1
20090624X10624,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20090706X00147,Enroute-climb to cruise - Flight instrument malf/fail,1
20090706X00147,Maneuvering - Loss of control in flight,1
20090706X00147,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20090724X05537,Enroute-cruise - Controlled flight into terr/obj (CFIT),1
20090724X05537,Enroute-cruise - VFR encounter with IMC,1
20090921X75928,Emergency descent - Fire/smoke (non-impact),1
20090921X75928,Enroute-cruise - Fire/smoke (non-impact),1
20090921X75928,Post-impact - Explosion (post-impact),1
20090921X75928,Post-impact - Fire/smoke (post-impact),1
20090921X75928,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20090921X75928,Uncontrolled descent - Fire/smoke (non-impact),1
20091021X75308,Initial climb - Unknown or undetermined,1
20091021X75308,Post-impact - Explosion (post-impact),1
20091021X75308,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20091026X72148,Enroute-cruise - Loss of control in flight,1
20091026X72148,Enroute-cruise - Windshear or thunderstorm,1
20091130X03956,Enroute-cruise - Unknown or undetermined,1
20091208X41743,Enroute-climb to cruise - Loss of control in flight,1
20091208X41743,Enroute-climb to cruise - VFR encounter with IMC,1
20091208X41743,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20100105X94046,Maneuvering - Controlled flight into terr/obj (CFIT),1
20100118X55330,Approach-IFR final approach - Aerodynamic stall/spin,1
20100118X55330,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20100206X64603,Approach-IFR initial approach - Collision with terr/obj (non-CFIT),1
20100206X64603,Approach-IFR initial approach - Loss of control in flight,1
20100206X64603,Approach-IFR initial approach - Other weather encounter,1
20100303X04933,Unknown - Unknown or undetermined,1
20100608X53455,Enroute - Loss of control in flight,1
20100611X93745,Initial climb - Collision with terr/obj (non-CFIT),1
20100611X93745,Prior to flight - Preflight or dispatch event,1
20100613X50350,Maneuvering - Aircraft structural failure,1
20100613X50350,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20100708X10207,Maneuvering-low-alt flying - Aerodynamic stall/spin,1
20100708X10207,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20100714X50804,Takeoff - Collision with terr/obj (non-CFIT),1
20100714X50804,Takeoff - Loss of control in flight,1
20100809X15745,Emergency descent - Ditching,1
20100809X15745,Enroute-cruise - Loss of engine power (total),1
20100817X84118,Takeoff - Collision with terr/obj (non-CFIT),1
20100901X11325,Landing-landing roll - Landing area overshoot,1
